Port,PortNo,Route,RouteNo
Wheat-Tau,6156,Rattlesnake_One_hundred_and_four,3513
Forestgreen-Upsilon,5853,Stephanotis_One_hundred_and_twenty-six,1541
Green-Zeta,8196,Dahlia_One_hundred_and_eleven,1335
Burlywood-Zeta,3947,Lisianthus_Two_hundred_and_thirty-six,996
Deepskyblue-Beta,6255,Broom_Four_hundred_and_ninety,2210
Lightgreen-Phi,5108,Sansevieria_One_hundred_and_eighteen,2105
Springgreen-Kappa,6751,Myrtle_Two_hundred_and_one,3520
Antiquewhite-Omicron,9824,Nerine_Three_hundred_and_sixty-eight,3687
Floralwhite-Eta,7087,Asparagus_Three_hundred_and_ninety-one,1233
Royalblue-Epsilon,6193,Sunflower_Three_hundred_and_eighteen,1427
Chartreuse-Omicron,6912,Narcissus_Four_hundred_and_fourteen,2014
Linen-Omicron,7823,Craspedia_One_hundred_and_eighty,2770
Greenyellow-Theta,6327,Wolfsbane_Two_hundred_and_thirty-four,3781
Navajowhite-Rho,5965,Craspedia_One_hundred_and_eighty,2770
Antiquewhite-Xi,4238,Sansevieria_Seventy,1948
Slategray-Kappa,4209,Jonquil_Three_hundred_and_fifty-nine,1367
Darkslategrey-Kappa,7187,Zantedeschia_Four_hundred_and_forty-three,800
Aquamarine-Psi,8586,Bouvardia_One_hundred_and_twenty-seven,2919
Burlywood-Omicron,5791,Ginger_Forty-seven,3616
Darksalmon-Zeta,8775,Gardenia_Three_hundred_and_sixty-three,2930
Honeydew-Pi,4753,Lavender_One_hundred_and_fifty-nine,2886
Mediumorchid-Zeta,5261,Stock_Four_hundred_and_seventy-seven,4007
Peru-Sigma,6981,Daffodil_Three_hundred_and_eighty-eight,1432
Plum-Kappa,9525,Philodendron_Two_hundred_and_eighty-six,3327
Darkred-Phi,4522,Windflower_Three,2946
Deeppink-Rho,4432,Narcissus_Three_hundred_and_twenty-three,1868
Red-Phi,4497,Bellflower_One_hundred_and_sixty-two,2480
Cornsilk-Pi,6560,Astilbe_Two_hundred_and_seventy-two,1071
Yellow-Eta,4836,Gerbera_Twelve,3735
Wheat-Omega,5874,Schinus_Eight,3116
Moccasin-Eta,8240,Myrsine_Two_hundred,1035
Goldenrod-Lamda,8459,Iris_One_hundred_and_forty-nine,2035
Seashell-Mu,7791,Wattle_Four_hundred_and_seventy,1240
Darksalmon-Zeta,8775,Speedwell_Twelve,3907
Mistyrose-Eta,9418,Anigozanthus_Three_hundred_and_nine,3105
Mediumvioletred-Chi,6851,Saxicola_One_hundred_and_eighty-seven,987
Darkcyan-Zeta,6360,Heath_Two_hundred_and_fifty-seven,3393
Lightsalmon-Epsilon,9831,Love-lies-bleeding_Thirty-eight,1911
Cornsilk-Pi,6560,Memosa_Four_hundred_and_thirty-nine,2553
Sandybrown-Xi,8755,Lavandula_Two_hundred_and_sixty-eight,2865
Aqua-Alpha,3569,Dendrobium_Four_hundred_and_fifty-three,864
Crimson-Chi,4446,Scabiosa_Two_hundred_and_forty-one,2571
Darkturquoise-Mu,7070,Daffodil_Four_hundred_and_forty-seven,3729
Gainsboro-Nu,4727,Lisianthus_Three_hundred_and_forty-four,699
Lightskyblue-Omega,3394,Scabiosa_One_hundred_and_seven,3604
Cornsilk-Tau,7703,Gyp_Seventeen,1177
Darkmagenta-Eta,4419,Amaryllis_Two_hundred_and_seventeen,1610
Lightcoral-Delta,9234,Philodendron_Four_hundred_and_thirteen,776
Rosybrown-Alpha,9621,Jonquil_Three_hundred_and_seventy,575
Cyan-Psi,8982,Cosmos_Seven,2592
Darkorange-Theta,4466,Craspedia_One_hundred_and_eighty,2770
Darkolivegreen-Xi,8632,Stock_One_hundred_and_twelve,441
Gold-Delta,5801,Jonquil_Fifty,1155
Darkseagreen-Tau,6926,Schinus_Eight,3116
Turquoise-Mu,9133,Bouvardia_One_hundred_and_twenty-seven,2919
Mediumturquoise-Rho,8043,Cymbidium_One_hundred_and_ninety-two,2116
Tomato-Kappa,9140,Ornithogalum_Fifty-five,2971
Bisque-Mu,8236,Gerbera_Sixty-six,9112064
Orangered-Sigma,9064,Rose_Two_hundred_and_fifty-eight,2899
Darkviolet-Gamma,5417,Nerine_Three_hundred_and_sixty-eight,3687
Darkcyan-Zeta,6360,Nerine_Four_hundred_and_seventy-seven,3287
Mediumvioletred-Xi,9189,Anigozanthus_One_hundred_and_sixty-one,3215
Gainsboro-Mu,3082,Lavender_Three_hundred_and_fifty-eight,3796
Mediumseagreen-Zeta,3000,Dahlia_Two_hundred_and_thirty-one,1261
Gold-Nu,7669,Heath_One_hundred_and_seventy-five,70
Ivory-Zeta,7124,Chamelaucium_One_hundred_and_sixty-one,2793
Slategrey-Tau,8221,Iris_One_hundred_and_forty-nine,2035
Mistyrose-Rho,7416,Love-lies-bleeding_One_hundred_and_ninety-three,265
Magenta-Beta,8423,Myrsine_Two_hundred,1035
Dimgray-Alpha,8738,Phlox_Fifty-four,3421
Palegoldenrod-Eta,6321,Jonquil_Fifty,1155
Darkturquoise-Beta,3676,Candytuft_Two_hundred_and_ninety-five,346
Powderblue-Sigma,7969,Daffodil_Four_hundred_and_forty-seven,3729
Indianred-Mu,3408,Montbretia_Two_hundred_and_sixty-eight,2754
White-Iota,3290,Farewell-To-Spring_Four_hundred_and_eight,1836
Crimson-Psi,5168,Philodendron_Two_hundred_and_thirty-three,3409
Black-Iota,9866,Tailflowers_Two_hundred_and_forty-three,1325
Deeppink-Tau,6682,Lisianthus_Three_hundred_and_forty-four,699
Bisque-Mu,8236,Amaryllis_Four_hundred_and_eighty-two,246
Lavender-Upsilon,4527,Phlox_Two_hundred_and_eighty-one,3702
Royalblue-Gamma,7732,Waxflower_Two_hundred_and_eighty-six,729
Seashell-Zeta,6916,Wattle_Four_hundred_and_forty,1698
Mediumorchid-Omega,7445,Acacia_Sixty-one,678
Rosybrown-Kappa,9080,Enthusiasm_Three_hundred_and_fifteen,3381
Mediumvioletred-Upsilon,6604,Ginger_Two_hundred_and_sixteen,1485
Lightsteelblue-Lamda,6925,Tracelium_Four_hundred_and_two,3597
Mediumblue-Tau,9768,Snapdragon_One_hundred_and_three,4011
Crimson-Iota,6400,Heather_Sixty-four,226
Olive-Xi,3995,Enthusiasm_Three_hundred_and_seventeen,2214
Gainsboro-Alpha,7361,Achillea_Eighty-two,2508
Gainsboro-Gamma,7151,Godetia_Two_hundred_and_eighty-four,131
Paleturquoise-Lamda,5221,Lisianthus_Three_hundred_and_forty-four,699
Red-Lamda,7033,Campanula_Sixty-one,3119
Lightblue-Zeta,6952,Achillea_Four_hundred_and_sixty-seven,3630
Indigo-Phi,5095,Tracelium_Thirty-nine,367
Palevioletred-Omicron,8539,Iris_One_hundred_and_twenty-seven,2092
Lightgrey-Iota,6995,Caspia_Three_hundred_and_fourteen,2401
Slateblue-Chi,6169,Iris_Three_hundred_and_ninety-five,261
Lightgoldenrodyellow-Zeta,3402,Chrysanthemum_Three_hundred,554
Chocolate-Omicron,9123,Ornithogalum_Three_hundred_and_seventy-seven,974
Ghostwhite-Xi,6525,Peony_Thirty-five,3076
Lightpink-Psi,9818,Broom_Three_hundred_and_sixty-nine,1758
Mediumspringgreen-Iota,7019,Drumstick_Four_hundred_and_eighty-five,904
Mediumpurple-Gamma,5521,Carnation_Four_hundred_and_forty,3834
White-Upsilon,8060,Tracelium_Thirty-six,3279
Magenta-Pi,3107,Enthusiasm_Forty-two,3554
Mediumslateblue-Delta,3939,Limonium_One_hundred_and_eighty-one,4013
Mediumspringgreen-Beta,6485,Safflower_Two_hundred_and_fifty-six,3005
Cyan-Zeta,9034,Candytuft_Twenty-nine,784
Tan-Alpha,5128,Banksia_Two_hundred_and_eighty-eight,1374
Peru-Rho,9499,Zantedeschia_Two_hundred_and_fifty-nine,3147
Orangered-Chi,7106,Gladiolus_Two_hundred_and_fifteen,44
Darkorchid-Alpha,9952,Narcissus_Three_hundred_and_twenty-five,651
Honeydew-Pi,4753,Bellflower_Two_hundred_and_eighty-four,2254
Papayawhip-Kappa,7037,Iris_One_hundred_and_ninety-two,3761
Cornflowerblue-Theta,6364,Nerine_Two,137
Lightgray-Iota,5207,Wattle_Two_hundred_and_ninety-eight,3728
Ghostwhite-Omega,5726,Daffodil_Two_hundred_and_fifty-nine,3865
Mediumvioletred-Epsilon,8054,Strawflower_Two_hundred_and_forty-five,1847
Black-Iota,9866,Ginger_One_hundred_and_thirty-two,2789
Darkgrey-Alpha,5688,Lilac_Two_hundred_and_five,1159
Mediumslateblue-Chi,6225,Chamelaucium_Eighty-seven,3875
Darkviolet-Iota,6687,Cornflower_Four_hundred_and_two,734
Gold-Upsilon,8264,Freesia_One_hundred_and_ninety-one,627
Steelblue-Kappa,4327,Tailflowers_Ninety-six,2780
Lightgrey-Epsilon,3779,Throatwort_One_hundred_and_twenty-six,1055
Honeydew-Beta,6797,Mimosa_Three_hundred_and_twenty-one,1699
Springgreen-Lamda,3162,Waxflower_Two_hundred_and_twenty-five,1116
Slategray-Omega,6881,Nerine_One_hundred_and_forty-three,810
Powderblue-Phi,7512,Stenamezon_Two_hundred_and_ninety-two,2450
Teal-Chi,9823,Wattle_One_hundred_and_ninety-four,222
Blue-Zeta,8953,Heath_One_hundred_and_seventy-five,70
Lightyellow-Psi,8222,Narcissus_Forty-five,3746
Seagreen-Mu,5893,Pittosporum_Two_hundred_and_ninety-three,903
Lightsteelblue-Phi,3279,Rattlesnake_Twenty-three,3785
Darkmagenta-Rho,9263,Pitt_One_hundred_and_seventy-four,637
Mediumturquoise-Chi,3373,Convallaria_Three_hundred_and_seventy-six,3086
Royalblue-Delta,4784,Tailflowers_Seventy-one,2352
Midnightblue-Omega,8590,Phalaenopsis_Four_hundred_and_forty,966
Crimson-Lamda,6476,Waxflower_One_hundred_and_one,1308
Silver-Pi,6829,Myrtus_Two_hundred_and_ninety-eight,3971
Blanchedalmond-Omega,7214,Tulip_Three_hundred_and_fifty-two,3282
White-Pi,6453,Freesia_Four_hundred_and_eighty-six,2761
Lightsteelblue-Theta,7339,Lisianthus_Four_hundred_and_ninety-nine,540
Darkcyan-Sigma,9231,Saxicola_One_hundred_and_ten,413
Ivory-Xi,8836,Astilbe_One_hundred_and_eighty-two,2914
Ghostwhite-Omega,5726,Dahlia_Three_hundred_and_eighty-two,3194
Darkgoldenrod-Theta,9777,Gerbera_Three_hundred_and_thirty-five,51
Gainsboro-Gamma,7151,Jonquil_Three_hundred_and_fifty-nine,1367
Mediumaquamarine-Beta,9611,Drumstick_Four,720
Plum-Zeta,8645,Buddleia_Two_hundred_and_forty-one,2197
Wheat-Beta,6993,Chrysanthemum_Two_hundred_and_eleven,640
Chartreuse-Beta,6142,Zantedeschia_Two_hundred_and_thirty-three,3802
Cadetblue-Delta,3591,Pitt_Two_hundred_and_sixty-three,3697
Cadetblue-Omega,5984,Farewell-To-Spring_Four_hundred_and_eight,1836
Darkorchid-Alpha,9952,Solidago_Four_hundred_and_thirty-six,2493
Lightsalmon-Beta,8301,Pittosporum_Three_hundred_and_twenty-eight,3444
Snow-Omicron,8768,Myrtle_Forty,2931
Aquamarine-Delta,5134,Wattle_Three_hundred_and_ninety-two,1563
Mediumorchid-Omega,7445,Myrsine_One_hundred_and_twenty-six,1906
Crimson-Alpha,8007,Freesia_Forty-one,1516
Aquamarine-Rho,5003,Porium_Four_hundred_and_six,2118
Dimgray-Alpha,8738,Cornflower_Ninety-one,3814
Snow-Chi,7079,Narcissus_Four_hundred_and_eighteen,45
Ghostwhite-Zeta,5204,Anemone_Two_hundred_and_nine,1733
Fuchsia-Gamma,8319,Gladiolus_Two_hundred_and_fifteen,44
Cornsilk-Epsilon,7769,Convallaria_Four_hundred_and_forty-four,1522
Whitesmoke-Pi,3522,Daffodil_Two_hundred_and_fifty-nine,3865
Antiquewhite-Pi,3420,Mimosa_Three_hundred_and_thirty-six,110
Deepskyblue-Sigma,7946,Sansevieria_Three_hundred_and_seventy-four,1423
Lightskyblue-Epsilon,9369,Sansevieria_Three_hundred_and_fifty-two,1864
Purple-Chi,7618,Monkshood_Two_hundred_and_sixty-two,3362
Slateblue-Psi,9460,Hydrangea_Four_hundred_and_fifty-three,1040
Antiquewhite-Rho,3451,Bouvardia_Sixty-seven,3414
Darkgoldenrod-Lamda,4187,Anigozanthus_Four_hundred_and_seventy-three,3467
Mistyrose-Theta,3258,Liatris_Three_hundred_and_forty-eight,2731
Bisque-Sigma,7523,Amaryllis_Two_hundred_and_seventeen,1610
Fuchsia-Lamda,7784,Wolfsbane_Three_hundred_and_eleven,1739
Dimgray-Xi,3246,Cymbidium_One_hundred_and_twenty-two,1568
Lightgray-Pi,4599,Statice_Three_hundred_and_sixty-two,473
Darkred-Nu,9086,Wolfsbane_One_hundred_and_twenty-nine,3092
Lightblue-Zeta,6952,Rose_Two_hundred_and_fifty-eight,2899
Springgreen-Xi,5482,Ranunculus_Two_hundred_and_fifteen,146
Teal-Rho,9708,Farewell-To-Spring_One_hundred_and_thirty-five,3176
Darkolivegreen-Rho,4198,Nerine_Thirty-four,458
Olive-Nu,7747,Zantedeschia_Four_hundred_and_forty-three,800
Mediumblue-Phi,8493,Alstroemeria_Seventy-three,2898
Crimson-Tau,4799,Veronica_Twenty-three,3948
Gainsboro-Nu,4727,Freesia_Four_hundred_and_eighty-six,2761
Lavenderblush-Phi,3265,Adam's-needle_Three_hundred_and_nineteen,1412
Midnightblue-Chi,7856,Candytuft_Eighty-three,3600
Ivory-Xi,8836,Farewell-To-Spring_One_hundred_and_sixty-five,1264
Wheat-Rho,5828,Myrsine_Two_hundred,1035
Chartreuse-Beta,6142,Veronica_Three_hundred_and_ninety-seven,1315
Crimson-Chi,4446,Pitt_Two_hundred_and_eighty-two,1709
Darkolivegreen-Rho,4198,Heather_Two_hundred_and_thirty,673
Chocolate-Eta,7317,Sansevieria_Four_hundred_and_twenty-one,2163
Darkgray-Alpha,9464,Dahlia_Two_hundred_and_eight,2313
Darkolivegreen-Omega,8961,Mimosa_Three_hundred_and_twenty-one,1699
Lightgray-Delta,3548,Stephanotis_Ninety-seven,805
Lightskyblue-Alpha,8284,Lavender_Four_hundred_and_sixteen,3010
Darkgoldenrod-Chi,5975,Phalaenopsis_Fifty-four,2557
Royalblue-Chi,9790,Anigozanthus_Four_hundred_and_seventy-three,3467
Moccasin-Tau,3818,Adam's-needle_Two_hundred_and_nine,393
Ghostwhite-Xi,6525,Ornithogalum_Two_hundred_and_eighty-four,1333
Orange-Zeta,6582,Throatwort_Three_hundred_and_five,574
Mediumseagreen-Delta,7053,Broom_Four_hundred_and_fourteen,1206
Orangered-Chi,7106,Love-lies-bleeding_Three_hundred_and_thirty-two,2666
Darkturquoise-Beta,3676,Montbretia_Two_hundred_and_five,2706
Lightgreen-Rho,8805,Lily_Three_hundred_and_ninety-one,3939
Grey-Omega,9183,Phalaenopsis_Eighty-five,3151
Aquamarine-Iota,6961,Memosa_Four_hundred_and_thirty-nine,2553
Darkviolet-Sigma,5613,Ginger_Two_hundred_and_sixteen,1485
Burlywood-Epsilon,3369,Gerbera_Sixty-six,9112064
Rebeccapurple-Psi,7042,Pitt_One_hundred_and_seventy-four,637
Cadetblue-Xi,6427,Achillea_Seventy-one,2622
Indigo-Alpha,8909,Wattle_Fifty-six,1505
Red-Lamda,7033,Liatris_Four_hundred_and_forty-two,846
Darkgreen-Upsilon,7298,Bouvardia_One_hundred_and_eighty-two,3936
Antiquewhite-Mu,3488,Pittosporum_Three_hundred_and_twenty-eight,3444
Rosybrown-Alpha,9621,Salix_Forty,3051
Red-Gamma,3199,Monkshood_Two_hundred_and_twenty-nine,2272
Lightsalmon-Iota,6469,Daffodil_Two_hundred_and_fifty-nine,3865
Ghostwhite-Omega,5726,Ornithogalum_Two_hundred_and_one,301
Blueviolet-Pi,8113,Zinna_One_hundred_and_ninety-five,2241
Lavenderblush-Nu,7688,Myrtus_One_hundred_and_fifty-four,3211
Forestgreen-Upsilon,5853,Montbretia_Eight,3923
Green-Zeta,8196,Nigella_Three_hundred_and_thirty-six,170
Darkgreen-Omicron,6913,Alpina_One_hundred_and_forty-one,2169
Salmon-Zeta,9336,Gerbera_One_hundred_and_ninety-three,897
Darkblue-Pi,7506,Wattle_Three_hundred_and_sixty-two,520
Seagreen-Upsilon,8602,Carnation_Two_hundred_and_twenty-four,172
Azure-Pi,7865,Saxicola_One_hundred_and_ten,413
Seashell-Nu,4148,Narcissus_Zero,3829
Silver-Zeta,5351,Montbretia_Two_hundred_and_sixty-eight,2754
Ivory-Tau,9056,Celosia_Two_hundred_and_one,2036
Yellow-Rho,4054,Achillea_Three_hundred_and_sixty-four,3609
Orchid-Lamda,4984,Craspedia_Two_hundred_and_forty-six,2703
Lemonchiffon-Psi,9344,Candytuft_Sixty-seven,3355
Orange-Psi,9932,Phalaenopsis_Fifty-four,2557
Navajowhite-Epsilon,6232,Mimosa_Two_hundred_and_nineteen,257
Mediumseagreen-Omega,4171,Clarkia_Two_hundred_and_eighty-nine,1478
Burlywood-Beta,6938,Scabiosa_Two,2392
Midnightblue-Omicron,7610,Cordyline_Three_hundred_and_seventy-eight,688
Darkgray-Phi,8625,Heath_Four_hundred_and_seventy-seven,3853
Darkslategray-Sigma,4897,Statice_Three_hundred_and_seventy-nine,213
Honeydew-Delta,8680,Heather_Four_hundred_and_two,2820
Powderblue-Kappa,5055,Wattle_Three_hundred_and_ninety-two,1563
Darkorange-Theta,4466,Rattlesnake_Three_hundred_and_twenty-four,3251
Powderblue-Lamda,4626,Cosmos_Seven,2592
Blanchedalmond-Epsilon,4675,Stock_One_hundred_and_twelve,441
Ivory-Xi,8836,Heather_Three_hundred_and_eighty-four,2271
Royalblue-Omicron,8017,Daffodil_Sixty-seven,1799
Crimson-Lamda,6476,Knapweed_Three_hundred_and_thirty-nine,2994
Darkmagenta-Omicron,4541,Lavender_Twenty-seven,3230
Dodgerblue-Sigma,8400,Love-lies-bleeding_One_hundred_and_ninety-three,265
Indigo-Phi,5095,Larkspur_One_hundred_and_sixty-five,58
Sandybrown-Iota,3121,Gerbera_Sixty-six,9112064
Blanchedalmond-Epsilon,4675,Drumstick_Three_hundred_and_thirty-nine,1750
Chocolate-Eta,7317,Caspia_Two_hundred,1032
Lightcoral-Mu,8105,Cosmos_Ninety-six,1682
Darkgrey-Xi,3450,Broom_Three_hundred_and_sixty-nine,1758
Salmon-Eta,6779,Montbretia_Two_hundred_and_five,2706
Thistle-Omega,7606,Ranunculus_Two_hundred_and_fifteen,146
Darkgreen-Epsilon,5811,Phalaenopsis_Two_hundred_and_fifty-six,3071
Saddlebrown-Chi,6558,Sansevieria_Four_hundred_and_thirty-one,2455
Moccasin-Tau,3818,Hippeastrum_Eighty-five,3648
Fuchsia-Nu,3616,Banksia_Four_hundred_and_eighty-seven,1965
Dimgray-Phi,4825,Acacia_Three_hundred_and_seven,931
Yellow-Rho,4054,Myrtle_Three_hundred_and_nine,3595
Gold-Upsilon,8264,Heather_Four_hundred_and_two,2820
Royalblue-Chi,9790,Tracelium_Four_hundred_and_sixty-five,1017
Yellowgreen-Xi,7329,Gerbera_Three_hundred_and_thirty-five,51
Mediumblue-Upsilon,4635,Narcissus_Three_hundred_and_twenty-five,651
Goldenrod-Sigma,5290,Rose_Twenty-three,9110538
Darkorange-Pi,7127,Narcissus_Forty-five,3746
Lightyellow-Omega,4102,Ornithogalum_Two_hundred_and_eighty-four,1333
Peru-Kappa,7847,Banksia_Two_hundred_and_eighty-nine,387
Chartreuse-Alpha,9330,Porium_Four_hundred_and_eighty,2906
Beige-Omega,3525,Salix_Sixty-five,2017
Green-Rho,5295,Stephanotis_One_hundred_and_twenty-six,1541
White-Psi,6369,Ginger_One_hundred_and_thirty-two,2789
Mistyrose-Eta,9418,Love-lies-bleeding_Four_hundred_and_sixty-four,3691
Dodgerblue-Epsilon,9289,Sunflower_Six,462
Floralwhite-Omega,5494,Solidago_One_hundred_and_ninety-one,2217
Mintcream-Alpha,7569,Phalaenopsis_Three_hundred_and_fifty-two,1129
Blue-Alpha,6940,Chrysanthemum_Three_hundred,554
Antiquewhite-Nu,8563,Campanula_One_hundred_and_ninety-eight,21
Olive-Chi,9356,Ranunculus_One_hundred_and_seventy-one,1665
Lightblue-Beta,5227,Porium_Eighty-nine,2734
Mediumorchid-Omega,7445,Solidago_Four_hundred_and_ninety-eight,2439
Mediumblue-Tau,9768,Stephanotis_Two_hundred_and_seventeen,485
Indianred-Epsilon,4968,Statice_Twenty,402
Maroon-Theta,3496,Godetia_Two_hundred_and_eighty-four,131
Darkslateblue-Pi,3335,Tulip_Three_hundred_and_sixty-four,2583
Greenyellow-Nu,5010,Broom_Two_hundred_and_four,79
Greenyellow-Rho,9958,Anthurium_Two_hundred_and_thirteen,1357
Floralwhite-Omega,5494,Sansevieria_Three_hundred_and_forty-three,2088
Deeppink-Epsilon,8372,Lilac_Three_hundred_and_fifteen,2379
Seashell-Mu,7791,Carthamus_Three_hundred_and_two,1380
Slategrey-Xi,8747,Myrsine_One_hundred_and_twenty-six,1906
Lawngreen-Psi,5481,Memosa_Four_hundred_and_thirty-nine,2553
Turquoise-Beta,5567,Phalaenopsis_Three_hundred_and_fifty-two,1129
Grey-Gamma,4667,Rose_Two_hundred_and_seventy-seven,210
Goldenrod-Iota,5742,Limonium_Three_hundred_and_twenty-two,1839
Burlywood-Omicron,5791,Ranunculus_One_hundred_and_seventy-one,1665
Darkmagenta-Xi,6613,Gyp_Two_hundred_and_ninety-four,61
Darksalmon-Beta,9334,Paeonia_Two_hundred_and_thirty-one,2787
Darkorchid-Alpha,9952,Myrtle_One_hundred_and_twenty-nine,429
Darkgrey-Eta,7114,Throatwort_Three_hundred_and_thirty-four,2334
Lightgrey-Lamda,9470,Jonquil_Fifty,1155
Darkmagenta-Omicron,4541,Lavandula_One_hundred_and_ninety-one,1796
Seashell-Nu,4148,Carnation_Sixty-seven,1223
Lightsalmon-Epsilon,9831,Lily_Three_hundred_and_ninety-one,3939
Dodgerblue-Gamma,9877,Melaleuca_Three_hundred_and_seventeen,890
Lightsalmon-Phi,9972,Wattle_Fifty-four,2237
Mediumslateblue-Delta,3939,Alpina_Four_hundred_and_twenty-three,2091
Sienna-Xi,9102,Rose_Fifty-one,263
Navajowhite-Zeta,4557,Strawflower_Two_hundred_and_thirty-five,923
Olive-Chi,9356,Porium_Thirty-five,871
Sienna-Eta,6655,Paeonia_Four_hundred_and_eleven,1445
Beige-Nu,7557,Craspedia_Four_hundred_and_forty-four,725
Darkslategrey-Kappa,7187,Anconitum_Two_hundred_and_three,204
Midnightblue-Upsilon,3071,Ornithogalum_Three_hundred_and_twenty-seven,3460
Dimgray-Xi,3246,Ornithogalum_Three_hundred,3872
Lightyellow-Phi,8587,Wattle_Thirty-seven,3135
Gold-Chi,5839,Windflower_One_hundred_and_one,2028
Seashell-Psi,7987,Broom_Three_hundred_and_sixty-nine,1758
Saddlebrown-Chi,6558,Speedwell_Four_hundred_and_ninety-four,595
Darkslategray-Upsilon,4368,Dendrobium_Eighty-three,1190
Mediumseagreen-Alpha,3173,Ornithogalum_Three_hundred_and_twelve,1686
Khaki-Tau,3635,Myrtus_Three_hundred_and_sixteen,179
Grey-Mu,8897,Candytuft_Four_hundred_and_ninety-five,3718
Lightgoldenrodyellow-Pi,3035,Enthusiasm_Three_hundred_and_seventeen,2214
Khaki-Tau,3635,Saponaria_Two_hundred_and_eight,1425
Lightslategray-Gamma,4428,Wattle_One_hundred_and_forty-one,3100
Lightgoldenrodyellow-Pi,3035,Lilly-of-the-Valley_One_hundred_and_forty,2503
Palegreen-Zeta,3042,Astilbe_Two_hundred_and_fourteen,821
Darkkhaki-Zeta,3792,Rose_Twenty-three,9110538
Darkorange-Lamda,9020,Stenamezon_Sixty-five,3306
Antiquewhite-Omicron,9824,Strawflower_Three_hundred_and_seventy-five,3507
Mediumvioletred-Upsilon,6604,Waxflower_Two_hundred_and_twenty-five,1116
Lightgray-Iota,5207,Phlox_Two_hundred_and_fifty-two,3000
Rebeccapurple-Mu,7470,Clarkia_Thirteen,2004
Orange-Xi,6031,Cordyline_Thirty-one,518
Mediumorchid-Omicron,6424,Drumstick_Three_hundred_and_ninety-five,2467
Darkgoldenrod-Gamma,6334,Asparagus_Four_hundred,3364
Red-Gamma,3199,Peony_Three_hundred_and_eighty-four,3128
Springgreen-Omicron,8208,Cosmos_One,2282
Lightslategray-Psi,6351,Phalaenopsis_Two_hundred_and_fifty-six,3071
Lawngreen-Zeta,4395,Wattle_Twelve,2109
Aliceblue-Kappa,7451,Iris_One_hundred_and_twenty-seven,2092
Thistle-Nu,8280,Hydrangea_Four_hundred_and_fifty-three,1040
Pink-Rho,4778,Clarkia_Two_hundred_and_eighty-nine,1478
Sienna-Eta,6655,Statice_Three_hundred_and_sixty-two,473
Ghostwhite-Nu,5024,Pittosporum_Thirty-nine,707
Khaki-Alpha,6344,Dahlia_Two_hundred_and_thirty-one,1261
Salmon-Iota,4288,Anthurium_Two_hundred_and_thirteen,1357
Darkblue-Zeta,5633,Nephrolepis_Four_hundred_and_sixty-eight,1120
Oldlace-Phi,4862,Campanula_Two_hundred_and_twelve,3450
Darkseagreen-Sigma,3266,Veronica_Twenty-three,3948
Paleturquoise-Eta,7677,Tracelium_Four_hundred_and_sixty-five,1017
Powderblue-Kappa,5055,Banksia_Two_hundred_and_eighty-eight,1374
Skyblue-Zeta,6212,Veronica_Three_hundred_and_ninety-seven,1315
Cornflowerblue-Lamda,6787,Drumstick_Four_hundred_and_eighty-five,904
Lemonchiffon-Chi,9683,Ginger_Forty-seven,3616
Yellowgreen-Omega,5139,Heath_Four_hundred_and_seventy-seven,3853
Cyan-Upsilon,6626,Pittosporum_Three_hundred_and_twenty-eight,3444
Cadetblue-Sigma,6634,Phalaenopsis_Fourteen,1439
Navy-Zeta,3568,Porium_Eighty-nine,2734
Yellowgreen-Rho,6094,Pittosporum_Fourteen,1805
Hotpink-Upsilon,4642,Alstroemeria_Forty-one,1386
Green-Mu,4311,Dendrobium_Eighty-three,1190
Lightblue-Lamda,7055,Myrtle_Two_hundred_and_one,3520
Salmon-Iota,4288,Dendrobium_Three_hundred_and_eighty-eight,3810
Orange-Chi,8434,Cosmos_Three_hundred_and_sixty-one,3860
Magenta-Phi,6063,Myrsine_One_hundred_and_seventy,1967
Greenyellow-Epsilon,6960,Gladiolus_Three_hundred_and_seventeen,3503
Palevioletred-Phi,8226,Stenamezon_Two_hundred_and_forty,1551
Darkseagreen-Eta,3759,Freesia_Four_hundred_and_eighty-six,2761
Darkolivegreen-Rho,4198,Chamelaucium_One_hundred_and_eighty-six,3159
Fuchsia-Gamma,8319,Ginger_One_hundred_and_thirty-two,2789
Lavenderblush-Phi,3265,Love-lies-bleeding_Three_hundred_and_thirty-two,2666
Khaki-Chi,5337,Wattle_Three_hundred_and_ninety-two,1563
Darkseagreen-Theta,4386,Godetia_Sixty-nine,1053
Green-Tau,4694,Gardenia_Four_hundred_and_sixty-one,228
Antiquewhite-Omicron,9824,Peony_One_hundred_and_ninety-nine,1813
Greenyellow-Rho,9958,Wattle_Three_hundred_and_sixty-two,520
Mediumblue-Pi,3686,Buddleia_Four_hundred_and_seventy-nine,2986
Plum-Alpha,3300,Zantedeschia_Two_hundred_and_thirty-three,3802
Aliceblue-Delta,9311,Enthusiasm_Forty-two,3554
Limegreen-Iota,6526,Saxicola_One_hundred_and_fifty-five,3789
Mediumblue-Pi,3686,Candytuft_Two_hundred_and_seventy-nine,1917
Lightskyblue-Omega,3394,Safflower_Four_hundred_and_twenty-eight,2301
Darkslategray-Sigma,4897,Stenamezon_Twenty-two,797
Rosybrown-Eta,7631,Tailflowers_Nine,3995
Lawngreen-Upsilon,3097,Iris_One_hundred_and_ninety-two,3761
